Time;Application throughput downlink;Ping round trip time;RS SNR;RSRQ (detected) - 1;RSRQ (detected) - 2;RSRQ (detected) - 3;RSRQ (detected) - 4;RSRQ (detected) - 5;RSRQ (detected) - 6;RSRP (detected) - 1;RSRP (detected) - 2;RSRP (detected) - 3;RSRP (detected) - 4;RSRP (detected) - 5;RSRP (detected) - 6
14:09:59.473;;;17.8;;;;;;;;;;;;
14:09:59.676;7.0;;;;;;;;;;;;;;
14:10:00.163;;;;-20.0; -20.0;;;;;-84.0; -84.0;;;;
14:10:00.163;;;18.2;;;;;;;;;;;;
14:10:00.694;6.8;;;;;;;;;;;;;;
14:10:00.872;;;;-16.5; -20.0;;;;;-81.0; -85.0;;;;
14:10:00.872;;;18.2;;;;;;;;;;;;
14:10:01.551;;;;-20.0; -20.0;;;;;-84.0; -85.0;;;;
14:10:01.551;;;17.6;;;;;;;;;;;;
14:10:01.696;7.0;;;;;;;;;;;;;;
14:10:02.249;;;;-17.5; -20.0;;;;;-84.0; -87.0;;;;
14:10:02.249;;;17.5;;;;;;;;;;;;
14:10:02.708;6.8;;;;;;;;;;;;;;
14:10:02.948;;;;-17.5; -20.0;;;;;-82.0; -82.0;;;;
14:10:02.948;;;17.9;;;;;;;;;;;;
14:10:03.628;;;;-19.5; -20.0;;;;;-83.0; -84.0;;;;
14:10:03.628;;;18.3;;;;;;;;;;;;
14:10:03.708;6.9;;;;;;;;;;;;;;
14:10:04.348;;;;-19.5; -20.0;;;;;-83.0; -85.0;;;;
14:10:04.348;;;18.8;;;;;;;;;;;;
14:10:04.709;6.8;;;;;;;;;;;;;;
14:10:05.028;;;;-13.5; -20.0;;;;;-79.0; -89.0;;;;
14:10:05.028;;;18.4;;;;;;;;;;;;
14:10:05.712;6.5;;;;;;;;;;;;;;
14:10:05.748;;;;-14.0; -20.0;;;;;-78.0; -86.0;;;;
14:10:05.748;;;16.9;;;;;;;;;;;;
14:10:06.429;;;;-17.5; -20.0;;;;;-77.0; -83.0;;;;
14:10:06.429;;;17.6;;;;;;;;;;;;
14:10:06.716;6.8;;;;;;;;;;;;;;
14:10:07.153;;;;-14.5; -20.0;;;;;-79.0; -87.0;;;;
14:10:07.153;;;19.7;;;;;;;;;;;;
14:10:07.716;7.0;;;;;;;;;;;;;;
14:10:07.870;;;;-12.5; -20.0;;;;;-81.0; -90.0;;;;
14:10:07.870;;;18.6;;;;;;;;;;;;
